material,epsilon_mode,pressure_mpa,thickness_nm,epsilon_r_t_zz,e33_c_per_m2,d33_c_per_n,d33_pm_per_v,delta_v_v,delta_v_mv,g_eff_vm_per_n,analytic_order
BiOI,vasp-electronic,50.0,20.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0004998245180294918,0.49982451802949174,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,100.0,5.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00014633994253747184,0.14633994253747185,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,100.0,5.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0003565700965649477,0.3565700965649477,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,100.0,5.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0002499122590147459,0.24991225901474587,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,100.0,10.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.0002926798850749437,0.2926798850749437,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,100.0,10.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007131401931298955,0.7131401931298954,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,100.0,10.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0004998245180294918,0.49982451802949174,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,100.0,20.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.0005853597701498874,0.5853597701498874,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,100.0,20.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.001426280386259791,1.4262803862597908,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,100.0,20.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0009996490360589835,0.9996490360589835,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,200.0,5.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.0002926798850749437,0.2926798850749437,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,200.0,5.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007131401931298955,0.7131401931298954,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,200.0,5.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0004998245180294918,0.49982451802949174,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,200.0,10.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.0005853597701498874,0.5853597701498874,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,200.0,10.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.001426280386259791,1.4262803862597908,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,200.0,10.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0009996490360589835,0.9996490360589835,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,200.0,20.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.0011707195402997747,1.1707195402997748,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,200.0,20.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.002852560772519582,2.8525607725195816,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,200.0,20.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.001999298072117967,1.999298072117967,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,10.0,5.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,5.8277891793281e-06,0.0058277891793281,0.000116555783586562,BiOBr>BiOI>BiOCl
